# runs.log — Registre des jobs : 2026-biosphere
# Format : ISO-date | job_id | statut | git_hash | script | notes
2026-03-05T11:44:13+01:00 | cutadapt_1-59_59_L001_4253232 | END | 6745b41 | slurm_script | sample=1-59_59_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-131_131_L001_4253301 | END | 6745b41 | slurm_script | sample=2-131_131_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-34_34_L001_4253205 | END | 6745b41 | slurm_script | sample=1-34_34_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-125_125_L001_4253295 | END | 6745b41 | slurm_script | sample=2-125_125_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-39_39_L001_4253210 | END | 6745b41 | slurm_script | sample=1-39_39_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-41_41_L001_4253212 | END | 6745b41 | slurm_script | sample=1-41_41_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-27_27_L001_4253197 | END | 6745b41 | slurm_script | sample=1-27_27_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-31_31_L001_4253201 | END | 6745b41 | slurm_script | sample=1-31_31_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-5_5_L001_4253228 | END | 6745b41 | slurm_script | sample=1-5_5_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-20_20_L001_4253189 | END | 6745b41 | slurm_script | sample=1-20_20_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-15_15_L001_4253184 | END | 6745b41 | slurm_script | sample=1-15_15_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-24_24_L001_4253194 | END | 6745b41 | slurm_script | sample=1-24_24_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-110_110_L001_4253283 | END | 6745b41 | slurm_script | sample=2-110_110_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-21_21_L001_4253190 | END | 6745b41 | slurm_script | sample=1-21_21_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-129_129_L001_4253299 | END | 6745b41 | slurm_script | sample=2-129_129_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-134_134_L001_4253304 | END | 6745b41 | slurm_script | sample=2-134_134_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-71_71_L001_4253245 | END | 6745b41 | slurm_script | sample=1-71_71_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-11_11_L001_4253179 | END | 6745b41 | slurm_script | sample=1-11_11_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-25_25_L001_4253195 | END | 6745b41 | slurm_script | sample=1-25_25_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-44_44_L001_4253215 | END | 6745b41 | slurm_script | sample=1-44_44_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-8_8_L001_4253264 | END | 6745b41 | slurm_script | sample=1-8_8_L001
2026-03-05T11:44:13+01:00 | cutadapt_1-17_17_L001_4253186 | END | 6745b41 | slurm_script | sample=1-17_17_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-108_108_L001_4253281 | END | 6745b41 | slurm_script | sample=2-108_108_L001
2026-03-05T11:44:13+01:00 | cutadapt_2-106_106_L001_4253279 | END | 6745b41 | slurm_script | sample=2-106_106_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-100_100_L001_4253273 | END | 6745b41 | slurm_script | sample=2-100_100_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-75_75_L001_4253249 | END | 6745b41 | slurm_script | sample=1-75_75_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-76_76_L001_4253250 | END | 6745b41 | slurm_script | sample=1-76_76_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-79_79_L001_4253254 | END | 6745b41 | slurm_script | sample=1-79_79_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-119_119_L001_4253291 | END | 6745b41 | slurm_script | sample=2-119_119_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-70_70_L001_4253244 | END | 6745b41 | slurm_script | sample=1-70_70_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-69_69_L001_4253243 | END | 6745b41 | slurm_script | sample=1-69_69_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-51_51_L001_4253223 | END | 6745b41 | slurm_script | sample=1-51_51_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-132_132_L001_4253302 | END | 6745b41 | slurm_script | sample=2-132_132_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-104_104_L001_4253277 | END | 6745b41 | slurm_script | sample=2-104_104_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-10_10_L001_4253178 | END | 6745b41 | slurm_script | sample=1-10_10_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-35_35_L001_4253206 | END | 6745b41 | slurm_script | sample=1-35_35_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-133_133_L001_4253303 | END | 6745b41 | slurm_script | sample=2-133_133_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-43_43_L001_4253214 | END | 6745b41 | slurm_script | sample=1-43_43_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-124_124_L001_4253294 | END | 6745b41 | slurm_script | sample=2-124_124_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-103_103_L001_4253276 | END | 6745b41 | slurm_script | sample=2-103_103_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-115_115_L001_4253288 | END | 6745b41 | slurm_script | sample=2-115_115_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-60_60_L001_4253233 | END | 6745b41 | slurm_script | sample=1-60_60_L001
001
2026-03-05T11:44:14+01:00 | cutadapt_2-117_117_L001_4253289 | END | 6745b41 | slurm_script | sample=2-117_117_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-65_65_L001_4253238 | END | 6745b41 | slurm_script | sample=1-65_65_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-49_49_L001_4253221 | END | 6745b41 | slurm_script | sample=1-49_49_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-73_73_L001_4253247 | END | 6745b41 | slurm_script | sample=1-73_73_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-16_16_L001_4253185 | END | 6745b41 | slurm_script | sample=1-16_16_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-4_4_L001_4253216 | END | 6745b41 | slurm_script | sample=1-4_4_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-82_82_L001_4253257 | END | 6745b41 | slurm_script | sample=1-82_82_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-130_130_L001_4253300 | END | 6745b41 | slurm_script | sample=2-130_130_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-128_128_L001_4253298 | END | 6745b41 | slurm_script | sample=2-128_128_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-32_32_L001_4253202 | END | 6745b41 | slurm_script | sample=1-32_32_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-127_127_L001_4253297 | END | 6745b41 | slurm_script | sample=2-127_127_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-23_23_L001_4253193 | END | 6745b41 | slurm_script | sample=1-23_23_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-40_40_L001_4253211 | END | 6745b41 | slurm_script | sample=1-40_40_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-56_56_L001_4253229 | END | 6745b41 | slurm_script | sample=1-56_56_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-123_123_L001_4253293 | END | 6745b41 | slurm_script | sample=2-123_123_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-135_135_L001_4253305 | END | 6745b41 | slurm_script | sample=2-135_135_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-105_105_L001_4253278 | END | 6745b41 | slurm_script | sample=2-105_105_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-45_45_L001_4253217 | END | 6745b41 | slurm_script | sample=1-45_45_L001
2026-03-05T11:44:14+01:00 | cutadapt_2-107_107_L001_4253280 | END | 6745b41 | slurm_script | sample=2-107_107_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-6_6_L001_4253240 | END | 6745b41 | slurm_script | sample=1-6_6_L001
2026-03-05T11:44:14+01:00 | cutadapt_1-57_57_L001_4253230 | END | 6745b41 | slurm_script | sample=1-57_57_L001
2026-03-05T11:44:14+01:00 | cutadapt_3-203_203_L001_4253383 | START | 6745b41 | slurm_script | sample=3-203_203_L001
2026-03-05T11:44:14+01:00 | cutadapt_3-201_201_L001_4253381 | START | 6745b41 | slurm_script | sample=3-201_201_L001
2026-03-05T11:44:14+01:00 | cutadapt_3-202_202_L001_4253382 | START | 6745b41 | slurm_script | sample=3-202_202_L001
2026-03-05T11:44:14+01:00 | cutadapt_3-204_204_L001_4253384 | START | 6745b41 | slurm_script | sample=3-204_204_L001
